Date,Action,Price,PnL
2023-10-16 00:00:00+05:30,Buy,19731.75,0.0
2023-10-23 00:00:00+05:30,Sell,19281.75,-450.0
2023-11-09 00:00:00+05:30,Buy,19395.30078125,0.0
2024-01-23 00:00:00+05:30,Sell,21238.80078125,1843.5
2024-02-02 00:00:00+05:30,Buy,21853.80078125,0.0
2024-03-15 00:00:00+05:30,Sell,22023.349609375,169.548828125
2024-04-01 00:00:00+05:30,Buy,22462.0,0.0
2024-04-19 00:00:00+05:30,Sell,22147.0,-315.0
2024-04-26 00:00:00+05:30,Buy,22419.94921875,0.0
2024-05-09 00:00:00+05:30,Sell,21957.5,-462.44921875
2024-05-22 00:00:00+05:30,Buy,22597.80078125,0.0
2024-08-06 00:00:00+05:30,Sell,23992.55078125,1394.75
2024-08-21 00:00:00+05:30,Buy,24770.19921875,0.0
2024-10-07 00:00:00+05:30,Sell,24795.75,25.55078125
2024-11-28 00:00:00+05:30,Buy,23914.150390625,0.0
2024-12-20 00:00:00+05:30,Sell,23587.5,-326.650390625
2025-02-01 00:00:00+05:30,Buy,23482.150390625,0.0
2025-02-13 00:00:00+05:30,Sell,23031.400390625,-450.75
2025-03-19 00:00:00+05:30,Buy,22907.599609375,0.0
2025-04-07 00:00:00+05:30,Sell,22161.599609375,-746.0
2025-04-21 00:00:00+05:30,Buy,24125.55078125,0.0
2025-06-04 00:00:00+05:30,Sell,24620.19921875,494.6484375
2025-06-10 00:00:00+05:30,Buy,25104.25,0.0
2025-06-19 00:00:00+05:30,Sell,24793.25,-311.0
2025-06-20 00:00:00+05:30,Buy,25112.400390625,0.0
2025-07-15 00:00:00+05:30,Sell,25195.80078125,83.400390625
2025-08-20 00:00:00+05:30,Buy,25050.55078125,0.0
2025-08-29 00:00:00+05:30,Sell,24426.849609375,-623.701171875
